sentences1	type1	sentences2	type2	is_similar
f-scores	METRIC	f-measure	METRIC	1
f-scores	METRIC	f1-score	METRIC	1
f1-score	METRIC	f1	METRIC	1
f1	METRIC	f-measure	METRIC	1
f1-score	METRIC	f-scores	METRIC	0
question answering 	TT	question answering 	TT	1
question answering 	TT	question answering 	TT	1
language modelling 	TT	language modelling 	TT	1
question answering	TT	question answering	TT	1
information extraction, visualization	TT	information extraction, visualization	TT	1
binary question answering	TT	binary question answering	TT	1
named entity recognition	TT	named entity recognition	TT	1
question answering, dialogue	TT	question answering, dialogue	TT	1
information extraction, event extraction, dialogue	TT	information extraction, event extraction, dialogue	TT	1
semantic parsing, sql-to-text	TT	semantic parsing, sql-to-text	TT	1
relation extraction	TT	relationship extraction	TT	1
question answering, knowledge graph	TT	question answering, knowledge graph	TT	1
question answering	TT	question answering	TT	1
language identification 	TT	language identification 	TT	1
knowledge base, nlu	TT	knowledge base, nlu	TT	1
medical question pair similarity computation	TT	medical question pair similarity computation	TT	1
timeline summarization	TT	timeline summarization	TT	1
reader-aware summarization	TT	reader-aware summarization	TT	1
abstract anaphora resolution 	TT	abstract anaphora resolution 	TT	1
bridging anaphora resolution 	TT	bridging anaphora resolution 	TT	1
visual question answering	TT	visual question answering	TT	1
named entity recognition	TT	named entity recognition	TT	1
question answering, visual, dialogue	TT	question answering, visual, dialogue	TT	1
information extraction, event extraction	TT	information extraction, event extraction	TT	1
semantic parsing, text-to-sql	TT	semantic parsing, text-to-sql	TT	1
question answering, knowledge base	TT	question answering, knowledge base	TT	1
binary question answering	TT	binary question answering	TT	1
intent classification	TT	intent classification	TT	1
speech translation, machine translation	TT	speech translation, machine translation	TT	1
text classification	TT	text classification	TT	1
question answering, semantic role labeling	TT	question answering, semantic role labeling	TT	1
text classification	TT	text classification	TT	1
question answering, reading comprehension, commonsense	TT	question answering, reading comprehension, commonsense	TT	1
text classification	TT	text classification	TT	1
binary question answering	TT	binary question answering	TT	1
emotion classification	TT	emotion classification	TT	1
question answering	TT	question answering	TT	1
classification, emotion detection	TT	classification, emotion detection	TT	1
question answering, visual, commonsense	TT	question answering, visual, commonsense	TT	1
question answering, reading comprehension, visual	TT	question answering, reading comprehension, visual	TT	1
question answering, reading comprehension	TT	question answering, reading comprehension	TT	1
speech recognition, visual	TT	speech recognition, visual	TT	1
f-scores	METRIC	f1	METRIC	1
precision	METRIC	precision@1	METRIC	2
Recall@K	METRIC	precision@2	METRIC	0
Recall@K	METRIC	precision@5	METRIC	0
Recall@K	METRIC	precision@4	METRIC	0
precision	METRIC	Precision@1	METRIC	2
precision	METRIC	Precision@2	METRIC	2
precision	METRIC	Precision@3	METRIC	2
recall	METRIC	recall@1	METRIC	2
recall	METRIC	recall@2	METRIC	2
recall	METRIC	recall@3	METRIC	2
recall	METRIC	recall@5	METRIC	2
f1 score	METRIC	f1	METRIC	1
f1	METRIC	f1 score	METRIC	1
ontonotes corpus	DATASET	ontonotes dataset	DATASET	1
ontonotes dataset	DATASET	ontonotes data	DATASET	1
ontonotes dataset	DATASET	Ontonotes 5.0 data	DATASET	2
ontonotes dataset	DATASET	genia corpus	DATASET	0
ontonotes dataset	DATASET	penn treebank	DATASET	0
ontonotes dataset	DATASET	Ontonotes 4.0 data	DATASET	2
ontonotes corpus	DATASET	Ontonotes 4.0 data	DATASET	2
ontonotes corpus	DATASET	genia corpus	DATASET	0
ACE corpus	DATASET	genia corpus	DATASET	0
ACE corpus	DATASET	ACE training data	DATASET	2
ACE training data	DATASET	ACE corpus	DATASET	2
Ontonotes 4.0 data	DATASET	Ontonotes 5.0 data	DATASET	0
ACE 2004 data	DATASET	Ontonotes 5.0 data	DATASET	0
conll shared task	DATASET	Conll 2004 shared task	DATASET	2
Conll 2004 shared task	DATASET	conll shared task	DATASET	2
Conll 2004 shared task	DATASET	ACE corpus	DATASET	0
Conll 2004 shared task	DATASET	ACE training data	DATASET	0
Conll 2004 shared task	DATASET	Ontonotes 4.0 data	DATASET	0
Conll 2004 shared task	DATASET	Ontonotes 5.0 data	DATASET	0
ontonotes dataset	DATASET	ace dataset	DATASET	0
ace dataset	DATASET	genia dataset	DATASET	0
ace dataset	DATASET	Ontonotes 5.0 data	DATASET	0
ace dataset	DATASET	conll shared task	DATASET	0
ace dataset	DATASET	ace dataset	DATASET	1
ace dataset	DATASET	ace corpus	DATASET	1
ace dataset	DATASET	ace test data	DATASET	2
ace dataset	DATASET	ace test set	DATASET	2
mean reciprocal rank	METRIC	mean reciprocal rank	METRIC	1
mean reciprocal rank	METRIC	recall	METRIC	0
recall	METRIC	precision	METRIC	0
precision	METRIC	mean reciprocal rank	METRIC	0
documentlevel semantic classification	TT	semantic analysis	TT	2
documentlevel text classification	TT	structure based text classification	TT	2
documentlevel text classification	TT	documentlevel text classification	TT	1
documentlevel text classification	TT	text classification	TT	2
documentlevel text classification	TT	structure based text analysis	TT	2
documentlevel text classification	TT	bridging anaphora resolution 	TT	0
documentlevel text classification	TT	anaphora resolution 	TT	0
data mining	TT	structure based data classification	TT	2
semantic analysis	TT	documentlevel semantic classification	TT	2
semantic analysis	TT	text classification	TT	0
data mining	TT	phraselevel data classification	TT	2
BC5CDR corpus	DATASET	genia corpus	DATASET	0
BC5CDR corpus	DATASET	BC5CDR corpus	DATASET	1
